id,sessionId,centerId,debitorInstitutionId,creditorInstitutionId,transactionAmount,transactionCurrency,transactionSign,transactionType,transactionStatus,transactionStatusDate,debitorAccType,creditorAccType,creditorType,debitorType,reqTimestamp,creditorAccNumber,debitorAccNumber,dphReference,hostReference,agreementReference,debitorPhoneNumber
1,1,1,BANK03,BANK03,130.82,MAD,D,BILL_PAY,PENDING,2023-10-31 00:00:00,SAVINGS,CHECKING,MERCHANT,INDIVIDUAL,2023-10-27 10:41:51+00:00,1897955761,3090541618,DPH_REF_0,HOST_REF_0,AGR_REF_0,15555353127
2,1,1,BANK02,BANK05,44.04,EUR,D,TRANSFER,FAILED,2023-10-31 00:00:00,SAVINGS,SAVINGS,MERCHANT,MERCHANT,2023-10-27 10:10:59+00:00,9513348207,6798542612,DPH_REF_2,HOST_REF_2,AGR_REF_2,15559073461
3,1,1,BANK04,BANK07,266.19,USD,D,BILL_PAY,FAILED,2023-10-31 00:00:00,CHECKING,CHECKING,INDIVIDUAL,INSTITUTION,2023-10-27 11:58:18+00:00,9573844352,1988638203,DPH_REF_4,HOST_REF_4,AGR_REF_4,15559756262
4,1,1,BANK04,BANK02,665.90,MAD,C,BILL_PAY,FAILED,2023-10-29 00:00:00,SAVINGS,CHECKING,INDIVIDUAL,INSTITUTION,2023-10-27 11:49:06+00:00,4790894239,3144019247,DPH_REF_5,HOST_REF_5,AGR_REF_5,15553676188
5,1,1,BANK03,BANK01,940.10,USD,C,P2P,FAILED,2023-10-31 00:00:00,SAVINGS,CHECKING,MERCHANT,MERCHANT,2023-10-27 12:24:40+00:00,1755593187,3457977438,DPH_REF_12,HOST_REF_12,AGR_REF_12,15557555968
6,1,1,BANK04,BANK02,895.88,USD,C,BILL_PAY,FAILED,2023-10-30 00:00:00,SAVINGS,SAVINGS,INSTITUTION,MERCHANT,2023-10-27 10:49:36+00:00,1077633091,1323609715,DPH_REF_13,HOST_REF_13,AGR_REF_13,15553699015
7,1,1,BANK04,BANK02,922.66,LBC,D,BILL_PAY,COMPLETED,2023-10-30 00:00:00,SAVINGS,SAVINGS,INDIVIDUAL,INSTITUTION,2023-10-27 11:35:59+00:00,1768037679,2695186921,DPH_REF_15,HOST_REF_15,AGR_REF_15,15552172622
8,X,1,BANK01,BANK04,204.02,OK,D,BILL_PAY,PENDING,2023-10-30 00:00:00,CHECKING,SAVINGS,INSTITUTION,INDIVIDUAL,2023-10-27 10:39:45+00:00,3330192559,6835343510,DPH_REF_17,HOST_REF_17,AGR_REF_17,15554177825
9,1,1,BANK03,BANK07,54.78,USD,C,P2P,COMPLETED,2023-10-29 00:00:00,SAVINGS,CHECKING,MERCHANT,INSTITUTION,2023-10-27 11:18:56+00:00,7828443293,6386591870,DPH_REF_18,HOST_REF_18,AGR_REF_18,15551996161
10,1,1,BANK05,BANK04,332.08,USD,D,P2P,FAILED,2023-10-28 00:00:00,SAVINGS,CHECKING,MERCHANT,MERCHANT,2023-10-27 10:30:02+00:00,9499280101,6680312281,DPH_REF_19,HOST_REF_19,AGR_REF_19,15555183839
